Indicateurs: Clé,Date,Milieu,Sexe,trancheAge,Regions,FaitsValeur
28007659,2014-01-01 00:00:00,Rural,Féminin,45-49 ans,Gouvernorat de Sfax,185
28007659,2014-01-01 00:00:00,Rural,Féminin,50-59 ans,Gouvernorat de Sfax,174
28007659,2014-01-01 00:00:00,Rural,Féminin,60+ ans,Gouvernorat de Sfax,44
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Gouvernorat de Kasserine,787
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Gouvernorat de Kasserine,1944
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Gouvernorat de Kasserine,2422
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Gouvernorat de Kasserine,1580
28007659,2014-01-01 00:00:00,Communal,Masculin,35-39 ans,Gouvernorat de Kasserine,791
28007659,2014-01-01 00:00:00,Communal,Masculin,40-44 ans,Gouvernorat de Kasserine,442
28007659,2014-01-01 00:00:00,Communal,Masculin,45-49 ans,Gouvernorat de Kasserine,301
28007659,2014-01-01 00:00:00,Communal,Masculin,50-59 ans,Gouvernorat de Kasserine,435
28007659,2014-01-01 00:00:00,Communal,Masculin,60+ ans,Gouvernorat de Kasserine,156
28007659,2014-01-01 00:00:00,Communal,Féminin,15-19 ans,Gouvernorat de Kasserine,502
28007659,2014-01-01 00:00:00,Communal,Féminin,20-24 ans,Gouvernorat de Kasserine,1605
28007659,2014-01-01 00:00:00,Communal,Féminin,25-29 ans,Gouvernorat de Kasserine,2564
28007659,2014-01-01 00:00:00,Communal,Féminin,30-34 ans,Gouvernorat de Kasserine,1674
28007659,2014-01-01 00:00:00,Communal,Féminin,35-39 ans,Gouvernorat de Kasserine,881
28007659,2014-01-01 00:00:00,Communal,Féminin,40-44 ans,Gouvernorat de Kasserine,480
28007659,2014-01-01 00:00:00,Communal,Féminin,45-49 ans,Gouvernorat de Kasserine,292
28007659,2014-01-01 00:00:00,Communal,Féminin,50-59 ans,Gouvernorat de Kasserine,302
28007659,2014-01-01 00:00:00,Communal,Féminin,60+ ans,Gouvernorat de Kasserine,62
28007659,2014-01-01 00:00:00,Rural,Masculin,15-19 ans,Gouvernorat de Kasserine,1027
28007659,2014-01-01 00:00:00,Rural,Masculin,20-24 ans,Gouvernorat de Kasserine,1616
28007659,2014-01-01 00:00:00,Rural,Masculin,25-29 ans,Gouvernorat de Kasserine,1541
28007659,2014-01-01 00:00:00,Rural,Masculin,30-34 ans,Gouvernorat de Kasserine,981
28007659,2014-01-01 00:00:00,Rural,Masculin,35-39 ans,Gouvernorat de Kasserine,589
28007659,2014-01-01 00:00:00,Rural,Masculin,40-44 ans,Gouvernorat de Kasserine,348
28007659,2014-01-01 00:00:00,Rural,Masculin,45-49 ans,Gouvernorat de Kasserine,325
28007659,2014-01-01 00:00:00,Rural,Masculin,50-59 ans,Gouvernorat de Kasserine,446
28007659,2014-01-01 00:00:00,Rural,Masculin,60+ ans,Gouvernorat de Kasserine,166
28007659,2014-01-01 00:00:00,Rural,Féminin,15-19 ans,Gouvernorat de Kasserine,595
28007659,2014-01-01 00:00:00,Rural,Féminin,20-24 ans,Gouvernorat de Kasserine,990
