Indicateur: Clé,Date,Milieu,Sexe,Niveau d''instruction,Régions,population
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Kasserine,8697
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Kasserine,37450
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Kasserine,27093
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Kasserine,4067
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Kasserine,27505
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Kasserine,19602
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Kasserine,3135
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Sidi Bouzid,14143
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Sidi Bouzid,20878
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Sidi Bouzid,7411
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Sidi Bouzid,12314
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Sidi Bouzid,16772
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Sidi Bouzid,7084
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Sidi Bouzid,49167
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Sidi Bouzid,40754
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Sidi Bouzid,7167
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Sidi Bouzid,35511
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Sidi Bouzid,29702
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Sidi Bouzid,6143
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Gabès,37860
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Gabès,47383
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Gabès,12725
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Gabès,34329
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Gabès,39856
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Gabès,15457
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Gabès,18343
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Gabès,14728
